Title, Price 
Ferocactus gracilis coloratus Specimen,$ 100.00
Gymnocalycyum Ruta,$ 10.99
2 inch assorted cactus 12 pack,$ 30.00
2 inch assorted cactus 16 pack,$ 40.00
2 inch assorted cactus 4 pack,$ 14.99
2 inch assorted cactus 64 pack,$ 139.00
2 inch assorted cactus 9 pack,$ 26.00
Astrophytum myriostigma var. nudum,$ 12.99
Buiningia brevicylindrica var. longispina,$ 10.99
Carnegiea Gigantean Saguaro,$ 9.99
Cephalocereus senilis,$ 14.99
Cereus aethiops,$ 14.99
Cleistocactus straussii silver torch,$ 11.99
Copiapoa hypogaea barquitensis,$ 12.99
Discocactus arneispinus,$ 9.50
Echinocactus grusonii,$ 9.99
Echinocactus grusonii from 3 to 10 inches Specimen,from $ 9.99
Echinocereus albiflora,$ 14.99
Echinocereus ferreirianus,$ 14.99
Echinocereus lauii,$ 9.25
Echinocereus pulchellus weinbergii,$ 9.99
Echinocereus reichenbachii albispinus,$ 9.50
Echinocereus reichenbachii v. minor,$ 8.99
Echinocereus viridiflorus davisii,$ 9.99
Echinocereus websterianus,$ 8.50
Echinocereus websterianus,$ 8.50
Echinofossulocactus albatus,$ 9.99
Echinofossulocactus longispinus,$ 8.50
Echinofossulocactus phyllacanthus v. violaciflora,$ 8.50
Echinofossulocactus tricuspidatus,$ 11.25
Echinofossulocactus zacatecasensis,$ 12.99
Echinopsis melanopotamica,$ 14.99
Echinopsis Sierra Grandensis,$ 11.99
Echinopsis subdenudata fuzzy navel,$ 8.25
Escontria chiotilla,$ 8.75
Espostoa melanostele,$ 8.75
False saguaro Cordon Pachycereus pringlei Small,$ 12.50
Ferocactus chrysacanthus,$ 14.99
Ferocactus hamatocactus hamatacanthus,$ 9.50
Ferocactus macrodiscus,$ 9.99
Ferocactus pottsii alamosanus,$ 8.99
Ferocactus stainesii v. pilosus,$ 8.50
Frailea buenekeri,$ 8.50
Frailea heliosa,$ 8.50
Frailera gloriosa,$ 10.99
Gymnocalicium bruchii,$ 9.50
Gymnocalicium tucavocense damsii,$ 8.75
Gymnocalicyum amerhuaseri,$ 9.99
Gymnocalicyum marquezii,$ 12.99
Gymnocalycium cardenasianum,$ 9.99
Gymnocalycium damsii var. rotundulum,$ 9.99
Gymnocalycium denudatum brasillense,$ 10.99
Gymnocalycium lukasikii,$ 8.50
Gymnocalycium matznetteri,$ 9.50
Gymnocalycium mesopotamicum,$ 9.50
Gymnocalycium multiflorum,$ 8.99
Gymnocalycium occultum,$ 9.99
Gymnocalycium pflanzii albipulpa,$ 9.99
Gymnocalycium piricarpum,$ 8.60
Gymnocalycium riograndense,$ 12.99
Gymnocalycium saglionis,$ 7.50
Gymnocalycium schatzlianum mackieanus,$ 9.99
Gymnocalycium stellatum asterium,$ 9.99
Gymnocalycium triacanthum,$ 16.99
Gymnocalycium vatteri Paucispinum,$ 11.99
Haworthia chloracantha,$ 8.50
Hylocereus undatus Pitahaya Dragon Fruit cutting,$ 9.99
Isolatocereus Dumortieri,$ 11.99
Leuchtenbergia principis,$ 11.99
Lobivia acanthoplegma v. roseiflora,$ 7.50
Lobivia Echinopsis maximiliana charazanensis,$ 8.99
Lobivia Echinopsis schreiteri,$ 9.99
Lobivia longispina,$ 7.99
Lobivia or Echinopsis ancistrophora kratochviliana,$ 8.50
Lobivia schreiteri,$ 9.99
Lobivia wrightiana,$ 8.50
Lophocereus schotti Totem Pole,$ 36.99
Mammilaria Rubrograndis,$ 7.50
Mammillaria albicoma,$ 7.50
Mammillaria bartshella shumannii,$ 9.99
